"Accepted Symbol","Synonym Symbol","Scientific Name"
"BENI","","Betula nigra"
"BEPAC2","","Betula papyrifera var. cordifolia"
"BEPO","","Betula populifolia"
"BEPU4","","Betula pumila"
"BIBE2","","Bidens beckii"
"BIBE2","MEBE2","Megalodonta beckii"
"BIBE2","MEBEB","Megalodonta beckii var. beckii"
"BICO5","","Bidens connata"
"BICO","","Bidens coronata"
"BIDI","","Bidens discoidea"
"BIEA","","Bidens eatonii"
"BIHY","","Bidens hyperborea"
"BIHYH","","Bidens hyperborea var. hyperborea"
"BIHYH","BIHYC2","Bidens hyperborea var. colpophila"
"BILA","","Bidens laevis"
"BLCI","","Blephilia ciliata"
"BLHI","","Blephilia hirsuta"
"BOFL3","","Bolboschoenus fluviatilis"
"BOFL3","SCFL","Scirpus fluviatilis"
"BOMA7","","Bolboschoenus maritimus"
"BOMA7","SCMA","Scirpus maritimus"
"BOMA7","SCPA4","Scirpus paludosus"
"BOMA7","SCPAA4","Scirpus paludosus var. atlanticus"
"BONO","","Bolboschoenus novae-angliae"
"BONO","SCCY2","Scirpus cylindricus"
"BONO","SCNO3","Scirpus novae-angliae"
"BORO5","","Bolboschoenus robustus"
"BORO5","SCRO","Scirpus robustus"
"BOAS","","Boltonia asteroides"
"BODI2","","Botrychium dissectum"
"BOLA","","Botrychium lanceolatum"
"BOLAA2","","Botrychium lanceolatum var. angustisegmentum"
"BOLAA2","BOLAA","Botrychium lanceolatum ssp. angustisegmentum"
"BOMA2","","Botrychium matricariifolium"
"BOMU","","Botrychium multifidum"
"BOMU","BOMUI","Botrychium multifidum var. intermedium"
"BOON","","Botrychium oneidense"
"BOSI","","Botrychium simplex"
"BOVI","","Botrychium virginianum"
"BOGR2","","Bouteloua gracilis"
"BORI","","Bouteloua rigidiseta"
"BRAR9","","Brachyelytrum aristosum"
"BRAR9","BRERS","Brachyelytrum erectum var. septentrionale"
"BRCI2","","Bromus ciliatus"
"BRKA2","","Bromus kalmii"
"BRLA4","","Bromus latiglumis"
"BRPU6","","Bromus pubescens"
"CACA","","Cabomba caroliniana"
"CAED","","Cakile edentula"
"CACAM","","Calamagrostis canadensis var. macouniana"
"CACO71","","Calamagrostis coarctata"
"CACO71","CACI","Calamagrostis cinnoides"
"CAPI","","Calamagrostis pickeringii"
"CAST36","","Calamagrostis stricta"
"CASTI3","","Calamagrostis stricta ssp. inexpansa"
"CASTI3","CALA47","Calamagrostis lacustris"
"CAPA","","Calla palustris"
"CAHE3","","Callitriche heterophylla"
"CAPA52","","Callitriche palustris"
"CAPA52","CAVE2","Callitriche verna"
"CATE19","","Callitriche terrestris"
"CATU5","","Calopogon tuberosus"
"CAPA5","","Caltha palustris"
"CAFL22","","Calycanthus floridus"
"CAFLG","","Calycanthus floridus var. glaucus"
"CAFLG","CAFE5","Calycanthus fertilis"
"CASE13","","Calystegia sepium"
"CASP14","","Calystegia spithamaea"
"CASPS2","","Calystegia spithamaea ssp. spithamaea"
"CASPS2","COSP6","Convolvulus spithamaeus"
"CAAP2","","Campanula aparinoides"
"CARO2","","Campanula rotundifolia"
"CABU3","","Cardamine bulbosa"
"CACO26","","Cardamine concatenata"
"CACO26","DELA5","Dentaria laciniata"
"CADO","","Cardamine douglassii"
"CALO11","","Cardamine longii"
"CAMA36","","Cardamine maxima"
"CAMA36","DEMA","Dentaria maxima"
"CAPRP","","Cardamine pratensis var. pratensis"
"CAPRP","CAPRP2","Cardamine pratensis var. palustris"
"CAAB5","","Carex abscondita"
"CAAE3","","Carex ×aestivaliformis"
"CAAE2","","Carex aestivalis"
"CAAL3","","Carex alata"
"CAAL25","","Carex albicans"
"CAAL5","","Carex albolutescens"
"CAAL11","","Carex albursina"
"CAAL8","","Carex alopecoidea"
"CAAM8","","Carex amphibola"
"CAAP5","","Carex appalachica"
"CAAQ","","Carex aquatilis"
"CAAQA","","Carex aquatilis var. aquatilis"
"CAAQA","CAAQA5","Carex aquatilis var. altior"
"CAAR3","","Carex arctata"
"CAAR4","","Carex argyrantha"
"CAATA2","","Carex atlantica ssp. atlantica"
"CAATC","","Carex atlantica ssp. capillacea"
"CAAU3","","Carex aurea"
"CABA3","","Carex backii"
"CABA7","","Carex baileyi"
"CABE2","","Carex bebbii"
"CABI3","","Carex bicknellii"
"CABR15","","Carex brunnescens"
"CABU7","","Carex bullata"
"CABU5","","Carex bushii"
"CABU6","","Carex buxbaumii"
"CACAD2","","Carex canescens ssp. disjuncta"
"CACAD2","CACAD","Carex canescens var. disjuncta"
"CACA16","","Carex castanea"
"CACE2","","Carex cephaloidea"
"CACE2","CASPC","Carex sparganioides var. cephaloidea"
"CACH5","","Carex chordorrhiza"
"CACO7","","Carex communis"
"CACO8","","Carex comosa"
"CACO14","","Carex conoidea"
"CACO14","CAKA","Carex katahdinensis"
"CACR4","","Carex crawfordii"
"CACRB","","Carex crinita var. brevicrinis"
"CACR9","","Carex cryptolepis"
"CACU3","","Carex cumulata"
"CADA","","Carex davisii"
"CADER","","Carex debilis var. rudgei"
"CADE9","","Carex deweyana"
"CADI4","","Carex diandra"
"CADI6","","Carex disperma"
"CAEB2","","Carex eburnea"
"CAEC","","Carex echinata"
"CAECE","","Carex echinata ssp. echinata"
"CAEM2","","Carex emoryi"
"CAEX7","","Carex exilis"
"CAFE3","","Carex festucacea"
"CAFL4","","Carex flava"
"CAFO6","","Carex folliculata"
"CAFO4","","Carex formosa"
"CAGL6","","Carex glaucodea"
"CAGL6","CAFLG5","Carex flaccosperma var. glaucodea"
"CAGR8","","Carex gracilescens"
"CAGR3","","Carex granularis"
"CAGR3","CAGRH","Carex granularis var. haleana"
"CAGR5","","Carex grayi"
"CAGR24","","Carex grisea"
"CAHA7","","Carex haydenii"
"CAHI6","","Carex hirsutella"
"CAHI5","","Carex hirtifolia"
"CAHI8","","Carex hitchcockiana"
"CAHO8","","Carex hormathodes"
"CAHY4","","Carex hystericina"
"CAIN12","","Carex intumescens"
"CALA16","","Carex lacustris"
"CALA14","","Carex laevivaginata"
"CALA11","","Carex lasiocarpa"
"CALA18","","Carex laxiculmis"
"CALE8","","Carex lenticularis"
"CALE11","","Carex leptonervia"
"CALI7","","Carex limosa"
"CALI","","Carex livida"
"CALIR","","Carex livida var. radicaulis"
"CALO5","","Carex longii"
"CALU17","","Carex lucorum"
"CALU3","","Carex lupuliformis"
"CAMAI2","","Carex magellanica ssp. irrigua"
"CAMAI2","CAPA22","Carex paupercula"
"CAME12","","Carex merritt-fernaldii"
"CAME13","","Carex mesochorea"
"CAMI15","","Carex michauxiana"
"CAMI18","","Carex mitchelliana"
"CAMO11","","Carex molesta"
"CAMU4","","Carex muehlenbergii"
"CANI5","","Carex nigra"
"CANO4","","Carex novae-angliae"
"CAOL2","","Carex oligocarpa"
"CAOL3","","Carex oligosperma"
"CAPA17","","Carex pallescens"
"CAPA19","","Carex pauciflora"
"CAPE11","","Carex peckii"
"CAPE4","","Carex pedunculata"
"CAPE42","","Carex pellita"
"CAPE42","CALA30","Carex lanuginosa"
"CAPL4","","Carex plantaginea"
"CAPL5","","Carex platyphylla"
"CAPO4","","Carex polymorpha"
"CAPR6","","Carex prairea"
"CAPR12","","Carex prasina"
"CAPR9","","Carex projecta"
"CAPS","","Carex pseudocyperus"
"CARE9","","Carex retroflexa"
"CARE4","","Carex retrorsa"
"CASC13","","Carex scabrata"
"CASC9","","Carex schweinitzii"
"CASE6","","Carex seorsa"
"CASI12","","Carex siccata"
"CASI12","CAAE","Carex aenea"
"CASI12","CAFO3","Carex foenea"
"CASI6","","Carex silicea"
"CASP3","","Carex sparganioides"
"CASP7","","Carex sprengelii"
"CAST16","","Carex sterilis"
"CAST6","","Carex straminea"
"CAST41","","Carex striata"
"CASTB","","Carex striata var. brevis"
"CATE3","","Carex tenera"
"CATE5","","Carex tenuiflora"
"CATE6","","Carex tetanica"
"CATI2","","Carex tincta"
"CATOR","","Carex tonsa var. rugosperma"
"CATOR","CARU5","Carex rugosperma"
"CATR8","","Carex trichocarpa"
"CATR10","","Carex trisperma"
"CATU2","","Carex tuckermanii"
"CATY","","Carex typhina"
"CAUM4","","Carex umbellata"
"CAVE6","","Carex vesicaria"
"CAVE9","","Carex vestita"
"CAVI5","","Carex viridula"
"CAWI7","","Carex wiegandii"
"CAWI2","","Carex willdenowii"
"CACO15","","Carya cordiformis"
"CADE12","","Castanea dentata"
"CAPU9","","Castanea pumila"
"CACO17","","Castilleja coccinea"
"CASP8","","Catalpa speciosa"
"CAGI6","","Caulophyllum giganteum"
"CATH2","","Caulophyllum thalictroides"
"CEAM","","Ceanothus americanus"
"CEHE","","Ceanothus herbaceus"
"CESC","","Celastrus scandens"
"CEOC","","Celtis occidentalis"
"CELO3","","Cenchrus longispinus"
"CESP4","","Cenchrus spinifex"
"CESP4","CEIN4","Cenchrus incertus"
"CETR","","Cenchrus tribuloides"
"CENU2","","Cerastium nutans"
"CEEC2","","Ceratophyllum echinatum"
"CECA4","","Cercis canadensis"
"CHNIN2","","Chamaecrista nictitans ssp. nictitans var. nictitans"
"CHNIN2","CANI4","Cassia nictitans"
"CHTH2","","Chamaecyparis thyoides"
"CHCA2","","Chamaedaphne calyculata"
"CHLU","","Chamaelirium luteum"
"CHPO6","","Chamaesyce polygonifolia"
"CHGL2","","Chelone glabra"
"CHOB3","","Chelone obliqua"
"CHOBO","","Chelone obliqua var. obliqua"
"CHALM2","","Chenopodium album var. missouriense"
"CHBE4","","Chenopodium berlandieri"
"CHBEM","","Chenopodium berlandieri var. macrocalycium"
"CHCA4","","Chenopodium capitatum"
"CHFO3","","Chenopodium foggii"
"CHHU","","Chenopodium humile"
"CHRU","","Chenopodium rubrum"
"CHSI2","","Chenopodium simplex"
"CHSI2","CHGI2","Chenopodium gigantospermum"
"CHST2","","Chenopodium standleyanum"
"CHMA3","","Chimaphila maculata"
"CHUM","","Chimaphila umbellata"
"CHUMC2","","Chimaphila umbellata ssp. cisatlantica"
"CHVI3","","Chionanthus virginicus"
"CHPUP3","","Chorizanthe pungens var. pungens"
"CHAM2","","Chrysosplenium americanum"
"CIBU","","Cicuta bulbifera"
"CIMA2","","Cicuta maculata"
"CILA2","","Cinna latifolia"
"CIAL","","Circaea alpina"
"CIHO2","","Cirsium horridulum"
"CIMU","","Cirsium muticum"
"CLMA","","Cladium mariscoides"
"CLKE","","Cladrastis kentukea"
"CLKE","CLLU","Cladrastis lutea"
"CLVI3","","Claytonia virginica"
"CLOC2","","Clematis occidentalis"
"CLAL3","","Clethra alnifolia"
"CLVU","","Clinopodium vulgare"
"CLVU","SAVUN","Satureja vulgaris var. neogaea"
"CLBO3","","Clintonia borealis"
"COPA3","","Collinsia parviflora"
"COCA4","","Collinsonia canadensis"
"COPA28","","Comarum palustre"
"COPA28","POPA14","Potentilla palustris"
"COPE80","","Comptonia peregrina"
"COCH2","","Conioselinum chinense"
"COAM","","Conopholis americana"
"COCAP3","","Conyza canadensis var. pusilla"
"COTR2","","Coptis trifolia"
"COMA25","","Corallorhiza maculata"
"COMA25","COMA4","Corallorrhiza maculata"
"COOD7","","Corallorhiza odontorhiza"
"COOD7","COOD","Corallorrhiza odontorhiza"
"COTR18","","Corallorhiza trifida"
"COTR18","COTR3","Corallorrhiza trifida"
"COTR18","COTRV","Corallorrhiza trifida var. verna"
"COCO9","","Corema conradii"
"COPU2","","Coreopsis pubescens"
"CORO","","Coreopsis rosea"
"COTR4","","Coreopsis tripteris"
"COAL2","","Cornus alternifolia"
"COAM2","","Cornus amomum"
"COCA13","","Cornus canadensis"
"COFL2","","Cornus florida"
"COOB9","","Cornus obliqua"
"COOB9","COAMS","Cornus amomum var. schuetzeana"
"CORU","","Cornus rugosa"
"COAU2","","Corydalis aurea"
"COSE5","","Corydalis sempervirens"
"COCO6","","Corylus cornuta"
"COCOC2","","Corylus cornuta var. cornuta"
"COCOC2","CORO5","Corylus rostrata"
"CRAQ","","Crassula aquatica"
"CRAQ","TIAQ3","Tillaea aquatica"
"CRBR3","","Crataegus brainerdii"
"CRCH","","Crataegus chrysocarpa"
"CRIN3","","Crataegus intricata"
"CRIN3","CRBI5","Crataegus biltmoreana"
"CRMO2","","Crataegus mollis"
"CRPE","","Crataegus pedicellata"
"CRPH","","Crataegus phaenopyrum"
"CRSU5","","Crataegus succulenta"
"CRSU5","CRBI7","Crataegus bicknellii"
"CRSA4","","Crotalaria sagittalis"
"CRST2","","Cryptogramma stelleri"
"CRCA9","","Cryptotaenia canadensis"
"CUVI","","Cuphea viscosissima"
"CUCE","","Cuscuta cephalanthi"
"CUCO2","","Cuscuta compacta"
"CUCO3","","Cuscuta coryli"
"CUPE3","","Cuscuta pentagona"
"CUPO","","Cuscuta polygonorum"
"CYVI","","Cynoglossum virginianum"
"CYVIB","","Cynoglossum virginianum var. boreale"
"CYVIB","CYBO","Cynoglossum boreale"
"CYBI6","","Cyperus bipartitus"
"CYDE2","","Cyperus dentatus"
"CYDI3","","Cyperus diandrus"
"CYEC2","","Cyperus echinatus"
"CYER2","","Cyperus erythrorhizos"
"CYES","","Cyperus esculentus"
"CYFL","","Cyperus flavescens"
"CYGR2","","Cyperus grayi"
"CYHO","","Cyperus houghtonii"
"CYLUL","","Cyperus lupulinus ssp. lupulinus"
"CYOD","","Cyperus odoratus"
"CYOD","CYEN","Cyperus engelmannii"
"CYPO","","Cyperus polystachyos"
"CYPOT","","Cyperus polystachyos var. texensis"
"CYPS","","Cyperus pseudovegetus"
"CYRE5","","Cyperus retrorsus"
"CYSC3","","Cyperus schweinitzii"
"CYSQ","","Cyperus squarrosus"
"CYSQ","CYAR3","Cyperus aristatus"
"CYAC3","","Cypripedium acaule"
"CYAR5","","Cypripedium arietinum"
"CYPA19","","Cypripedium parviflorum"
"CYPAM3","","Cypripedium parviflorum var. makasin"
"CYPAP4","","Cypripedium parviflorum var. parviflorum"
"CYPAP4","CYCAP","Cypripedium calceolus var. parviflorum"
"CYPAP3","","Cypripedium parviflorum var. pubescens"
"CYPAP3","CYCAP2","Cypripedium calceolus var. pubescens"
"CYPAP3","CYPU10","Cypripedium pubescens"
"CYRE6","","Cypripedium reginae"
"CYBU3","","Cystopteris bulbifera"
"CYFR2","","Cystopteris fragilis"
"CYLA4","","Cystopteris laurentiana"
"CYPR4","","Cystopteris protrusa"
"CYTE7","","Cystopteris tenuis"
"DAVI6","","Dactylorhiza viridis"
"DAVI6","COVI6","Coeloglossum viride"
"DAVI6","COVIV","Coeloglossum viride var. virescens"
"DARE","","Dalibarda repens"
"DACO","","Danthonia compressa"
"DAFR6","","Dasiphora fruticosa"
"DAFR6","POFR4","Potentilla fruticosa"
"DAFRF","","Dasiphora fruticosa ssp. floribunda"
"DEVE","","Decodon verticillatus"
"DEPU2","","Dennstaedtia punctilobula"
"DEAC4","","Deparia acrostichoides"
"DECE","","Deschampsia cespitosa"
"DECE","DECA18","Deschampsia caespitosa"
"DECE","DECEG2","Deschampsia cespitosa ssp. glauca"
"DEFL","","Deschampsia flexuosa"
"DEIN5","","Descurainia incana"
"DEPI","","Descurainia pinnata"
"DEPIB","","Descurainia pinnata ssp. brachycarpa"
"DECI","","Desmodium ciliare"
"DECU","","Desmodium cuspidatum"
"DEHU3","","Desmodium humifusum"
"DEMA2","","Desmodium marilandicum"
"DEOB5","","Desmodium obtusum"
"DEOB5","DERI3","Desmodium rigidum"
"DERO3","","Desmodium rotundifolium"
"DESE","","Desmodium sessilifolium"
"DICA","","Dicentra canadensis"
"DIEX","","Dicentra eximia"
"DIACF","","Dichanthelium acuminatum var. fasciculatum"
"DIACF","PACU3","Panicum curtifolium"
"DIACF","PASU6","Panicum subvillosum"
"DIACL","","Dichanthelium acuminatum var. lindheimeri"
"DIACL","PALI11","Panicum lindheimeri"
"DIBO","","Dichanthelium boreale"
"DIBO","PABI7","Panicum bicknellii"
"DIBO","PABO8","Panicum boreale"
"DIBO","PACA19","Panicum calliphyllum"
"DICO2","","Dichanthelium commutatum"
"DICO2","PAJO3","Panicum joorii"
"DIDID","","Dichanthelium dichotomum var. dichotomum"
"DIDID","DIDIM","Dichanthelium dichotomum ssp. mattamuskeetense"
"DIDID","PAAN10","Panicum annulum"
"DIDID","PALU4","Panicum lucidum"
"DIDID","PAMA10","Panicum mattamuskeetense"
"DIDID","PANU7","Panicum nudicaule"
"DIDID","PAYA2","Panicum yadkinense"
"DILI2","","Dichanthelium linearifolium"
"DILI2","PAPE10","Panicum perlongum"
"DIME2","","Dichanthelium meridionale"
"DIME2","PAME7","Panicum meridionale"
"DIOLS","","Dichanthelium oligosanthes var. scribnerianum"
"DIOLS","PASC10","Panicum scoparium"
"DIOVA","","Dichanthelium ovale var. addisonii"
"DIOVA","PACO20","Panicum commonsianum"
"DIOVA","PACOA3","Panicum commonsianum var. addisonii"
"DISAP","","Dichanthelium sabulorum var. patulum"
"DISAP","PACOE","Panicum commonsianum var. euchlamydeum"
"DISAT","","Dichanthelium sabulorum var. thinium"
"DISAT","PACO29","Panicum columbianum"
"DISC2","","Dichanthelium scabriusculum"
"DISC2","PASC8","Panicum scabriusculum"
"DISC3","","Dichanthelium scoparium"
"DISC3","PASC9","Panicum scoparium"
"DISPI","","Dichanthelium sphaerocarpon var. isophyllum"
"DISPI","PAPO4","Panicum polyanthes"
"DISPS3","","Dichanthelium sphaerocarpon var. sphaerocarpon"
"DISPS3","PASP8","Panicum sphaerocarpon"
"DISP4","","Dichanthelium spretum"
"DISP4","PAACD","Panicum acuminatum var. densiflorum"
"DISP4","PASP9","Panicum spretum"
"DIVIV","","Dichanthelium villosissimum var. villosissimum"
"DIVIV","DIOVP","Dichanthelium ovale ssp. pseudopubescens"
"DIVIV","PAVI8","Panicum villosissimum"
"DIWR3","","Dichanthelium wrightianum"
"DIWR3","PAWR7","Panicum wrightianum"
"DIXA","","Dichanthelium xanthophysum"
"DIXA","PAXA4","Panicum xanthophysum"
"DILO","","Diervilla lonicera"
"DICO6","","Digitaria cognata"
"DIFI","","Digitaria filiformis"
"DIVI5","","Diospyros virginiana"
"DIPY","","Diplazium pycnocarpon"
"DIPY","ATPY","Athyrium pycnocarpon"
"DIPA9","","Dirca palustris"
"DISP","","Distichlis spicata"
"DOIN2","","Doellingeria infirma"
"DOIN2","ASIN2","Aster infirmus"
"DRRE2","","Draba reptans"
"DRPA2","","Dracocephalum parviflorum"
"DRFI","","Drosera filiformis"
"DRIN3","","Drosera intermedia"
"DRRO","","Drosera rotundifolia"
"DRCA3","","Dryopteris campyloptera"
"DRCA11","","Dryopteris carthusiana"
"DRCL","","Dryopteris clintoniana"
"DRCR4","","Dryopteris cristata"
"DRGO3","","Dryopteris goldieana"
"DRIN5","","Dryopteris intermedia"
"DRMA4","","Dryopteris marginalis"
"ECPA","","Echinacea pallida"
"ECWA","","Echinochloa walteri"
"ECTE2","","Echinodorus tenellus"
"ECTE2","ECPA6","Echinodorus parvulus"
"ECTE2","ECTEP","Echinodorus tenellus var. parvulus"
"ECPR","","Eclipta prostrata"
"ELAM3","","Elatine americana"
"ELAM3","ELTRA4","Elatine triandra var. americana"
"ELMI","","Elatine minima"
"ELTR","","Elatine triandra"
"ELDI2","","Eleocharis diandra"
"ELEL4","","Eleocharis elliptica"
"ELEN","","Eleocharis engelmannii"
"ELEQ","","Eleocharis equisetoides"
"ELFA","","Eleocharis fallax"
"ELHA2","","Eleocharis halophila"
"ELIN","","Eleocharis intermedia"
"ELME","","Eleocharis melanocarpa"
"ELMI2","","Eleocharis microcarpa"
"ELMI2","ELMIF","Eleocharis microcarpa var. filiculmis"
"ELOB2","","Eleocharis obtusa"
"ELOB2","ELOBP","Eleocharis obtusa var. peasei"
"ELOL","","Eleocharis olivacea"
"ELOV","","Eleocharis ovata"
"ELOV","ELOBO","Eleocharis obtusa var. ovata"
"ELPA5","","Eleocharis parvula"
"ELQU","","Eleocharis quadrangulata"
"ELQU","ELQUC","Eleocharis quadrangulata var. crassior"
"ELQU2","","Eleocharis quinqueflora"
"ELQU2","ELPA6","Eleocharis pauciflora"
"ELQU2","ELPAF","Eleocharis pauciflora var. fernaldii"
"ELRO","","Eleocharis robbinsii"
"ELRO2","","Eleocharis rostellata"
"ELTR5","","Eleocharis tricostata"
"ELTU","","Eleocharis tuberculosa"
"ELNY","","Ellisia nyctelea"
"ELNU2","","Elodea nuttallii"
"ELHY","","Elymus hystrix"
"ELTR7","","Elymus trachycaulus"
"ELTRS","","Elymus trachycaulus ssp. subsecundus"
"ELTRT","","Elymus trachycaulus ssp. trachycaulus"
"ELTRT","AGTR","Agropyron trachycaulum"
"ELVI","","Elymus villosus"
"ELWI","","Elymus wiegandii"
"EPRE2","","Epigaea repens"
"EPCI","","Epilobium ciliatum"
"EPLE2","","Epilobium leptophyllum"
"EPPA","","Epilobium palustre"
"EPST","","Epilobium strictum"
"EQFE","","Equisetum ×ferrissii"
"EQFL","","Equisetum fluviatile"
"EQHYA","","Equisetum hyemale var. affine"
"EQHYA","EQHYA2","Equisetum hyemale ssp. affine"
"EQPA","","Equisetum palustre"
"EQPR","","Equisetum pratense"
"EQSC","","Equisetum scirpoides"
"EQSY","","Equisetum sylvaticum"
"EQVA","","Equisetum variegatum"
"ERCA","","Eragrostis capillaris"
"ERFR","","Eragrostis frankii"
"ERHY","","Eragrostis hypnoides"
"ERHIM2","","Erechtites hieraciifolius var. megalocarpus"
"ERAQ2","","Eriocaulon aquaticum"
"ERAQ2","ERSE4","Eriocaulon septangulare"
